Filename,Date Time Stamp,Total Counts,Centroid,FWHM,Net Area,Uncertainty,Net Rate,Gross Area
file://E:\WilliamMax\120s_01.mca,04/18/2021 11:02:54,3294347,,,,,,
file://E:\WilliamMax\120s_02.mca,04/18/2021 11:07:41,2703450,,,,,,
file://E:\WilliamMax\120s_03.mca,04/18/2021 11:11:58,2432986,,,,,,
file://E:\WilliamMax\120s_04.mca,04/18/2021 11:16:12,2135910,,,,,,
file://E:\WilliamMax\120s_05.mca,04/18/2021 11:20:29,1841992,,,,,,
file://E:\WilliamMax\120s_06.mca,04/18/2021 11:24:23,1637850,,,,,,
file://E:\WilliamMax\120s_07.mca,04/18/2021 11:28:11,1508400,,,,,,
file://E:\WilliamMax\120s_08.mca,04/18/2021 11:31:58,1379171,,,,,,
file://E:\WilliamMax\120s_09.mca,04/18/2021 11:35:47,1261276,,,,,,
file://E:\WilliamMax\120s_10.mca,04/18/2021 11:39:33,1159636,,,,,,
Filename,Date Time Stamp,Total Counts,Centroid,FWHM,Net Area,Uncertainty,Net Rate,Gross Area
file://E:\WilliamMax\10mins_1.mca,04/18/2021 11:46:40,4576816,,,,,,
file://E:\WilliamMax\10mins_2.mca,04/18/2021 11:59:31,3694038,,,,,,
file://E:\WilliamMax\10mins_3.mca,04/18/2021 12:11:48,3179572,,,,,,
file://E:\WilliamMax\10mins_4.mca,04/18/2021 12:24:05,2747899,,,,,,
file://E:\WilliamMax\10mins_5.mca,04/18/2021 12:36:00,2512548,,,,,,
Filename,Date Time Stamp,Total Counts,Centroid,FWHM,Net Area,Uncertainty,Net Rate,Gross Area
file://E:\WilliamMax\30mins_01.mca,04/18/2021 12:49:24,6530441,,,,,,
file://E:\WilliamMax\30mins_02.mca,04/18/2021 13:22:34,5631010,,,,,,
file://E:\WilliamMax\30mins_03.mca,04/18/2021 13:55:13,5126948,,,,,,
file://E:\WilliamMax\30mins_04.mca,04/18/2021 14:27:58,4732875,,,,,,
file://E:\WilliamMax\30mins_05.mca,04/18/2021 15:00:35,4391259,,,,,,
file://E:\WilliamMax\30mins_06.mca,04/18/2021 15:32:59,2821515,,,,,,
file://E:\WilliamMax\30mins_07.mca,04/18/2021 16:10:14,3823157,,,,,,
file://E:\WilliamMax\30mins_08.mca,04/18/2021 16:42:32,3232952,,,,,,
file://E:\WilliamMax\30mins_09.mca,04/18/2021 17:14:45,3390356,,,,,,
file://E:\WilliamMax\30mins_10.mca,04/18/2021 17:47:05,3201642,,,,,,
file://E:\WilliamMax\30mins_11.mca,04/18/2021 18:19:20,2908719,,,,,,
file://E:\WilliamMax\30mins_12.mca,04/18/2021 18:51:40,1182055,,,,,,
Filename,Date Time Stamp,Total Counts,Centroid,FWHM,Net Area,Uncertainty,Net Rate,Gross Area
file://E:\WilliamMax\onehr_01.mca,04/18/2021 19:07:36,5415761,,,,,,
file://E:\WilliamMax\onehr_02.mca,04/18/2021 20:10:29,4875623,,,,,,
file://E:\WilliamMax\onehr_03.mca,04/18/2021 21:13:10,4403814,,,,,,
file://E:\WilliamMax\onehr_04.mca,04/18/2021 22:15:32,3997327,,,,,,
file://E:\WilliamMax\onehr_05.mca,04/18/2021 23:17:55,3633364,,,,,,
file://E:\WilliamMax\onehr_06.mca,04/19/2021 00:20:06,3216189,,,,,,
file://E:\WilliamMax\onehr_07.mca,04/19/2021 01:30:14,3005433,,,,,,
file://E:\WilliamMax\onehr_08.mca,04/19/2021 02:32:27,2745768,,,,,,
file://E:\WilliamMax\onehr_09.mca,04/19/2021 03:34:18,2536627,,,,,,
file://E:\WilliamMax\onehr_10.mca,04/19/2021 04:36:21,2340780,,,,,,
file://E:\WilliamMax\onehr_11.mca,04/19/2021 05:38:10,2164232,,,,,,
file://E:\WilliamMax\onehr_12.mca,04/19/2021 06:50:05,1980595,,,,,,
file://E:\WilliamMax\onehr_13.mca,04/19/2021 07:51:57,1836407,,,,,,
file://E:\WilliamMax\onehr_14.mca,04/19/2021 08:53:38,1712652,,,,,,
file://E:\WilliamMax\onehr_15.mca,04/19/2021 09:55:18,1601392,,,,,,
Filename,Date Time Stamp,Total Counts,Centroid,FWHM,Net Area,Uncertainty,Net Rate,Gross Area
file://E:\WilliamMax\twohr_01.mca,04/19/2021 10:58:58,2885488,,,,,,
file://E:\WilliamMax\twohr_02.mca,04/19/2021 13:01:01,2488815,,,,,,
file://E:\WilliamMax\twohr_03.mca,04/19/2021 15:10:10,2233459,,,,,,
file://E:\WilliamMax\twohr_04.mca,04/19/2021 17:12:10,1985436,,,,,,
file://E:\WilliamMax\twohr_05.mca,04/19/2021 19:14:03,1776667,,,,,,
file://E:\WilliamMax\twohr_06.mca,04/19/2021 21:15:45,1597447,,,,,,
file://E:\WilliamMax\twohr_07.mca,04/19/2021 23:17:35,1440829,,,,,,
file://E:\WilliamMax\twohr_08.mca,04/20/2021 01:19:27,1301848,,,,,,
file://E:\WilliamMax\twohr_09.mca,04/20/2021 03:21:04,1184030,,,,,,
file://E:\WilliamMax\twohr_10.mca,04/20/2021 05:22:32,1078086,,,,,,
file://E:\WilliamMax\twohr_11.mca,04/20/2021 07:23:53,984377,,,,,,
file://E:\WilliamMax\twohr_12.mca,04/20/2021 09:25:22,903443,,,,,,
Filename,Date Time Stamp,Total Counts,Centroid,FWHM,Net Area,Uncertainty,Net Rate,Gross Area
file://E:\WilliamMax\fourhr_1.mca,04/20/2021 15:14:06,1363219,,,,,,
file://E:\WilliamMax\fourhr_2.mca,04/20/2021 19:15:39,1164694,,,,,,
file://E:\WilliamMax\fourhr_3.mca,04/20/2021 23:17:19,999437,,,,,,
file://E:\WilliamMax\fourhr_4.mca,04/21/2021 03:18:49,858653,,,,,,
file://E:\WilliamMax\fourhr_5.mca,04/21/2021 07:20:34,743286,,,,,,
Filename,Date Time Stamp,Total Counts,Centroid,FWHM,Net Area,Uncertainty,Net Rate,Gross Area
file://E:\WilliamMax\sixhr_1.mca,04/21/2021 11:37:18,929018,,,,,,
file://E:\WilliamMax\sixhr_2.mca,04/21/2021 17:38:54,756981,,,,,,
file://E:\WilliamMax\sixhr_3.mca,04/21/2021 23:40:33,623512,,,,,,
file://E:\WilliamMax\sixhr_4.mca,04/22/2021 05:42:02,515952,,,,,,
Filename,Date Time Stamp,Total Counts,Centroid,FWHM,Net Area,Uncertainty,Net Rate,Gross Area
file://E:\WilliamMax\eighthr_1.mca,04/22/2021 13:24:24,533535,,,,,,
file://E:\WilliamMax\eighthr_2.mca,04/22/2021 21:25:58,429544,,,,,,
